location_uid,city_id,city_name,region_code,zip_code,source_system,active_flag
04076_04320,04076,ENTREVAUX,93,04320,insee_communes_bocp_2025,true
04077_04700,04077,ENTREVENNES,93,04700,insee_communes_bocp_2025,true
04079_04160,04079,L ESCALE,93,04160,insee_communes_bocp_2025,true
04081_04800,04081,ESPARRON DE VERDON,93,04800,insee_communes_bocp_2025,true
04081_04800,04081,ESPARRON DE VERDON,93,04800,insee_communes_bocp_2025,true
04084_04270,04084,ESTOUBLON,93,04270,insee_communes_bocp_2025,true
04084_04270,04084,ESTOUBLON,93,04270,insee_communes_bocp_2025,true
04085_04250,04085,FAUCON DU CAIRE,93,04250,insee_communes_bocp_2025,true
04086_04400,04086,FAUCON DE BARCELONNETTE,93,04400,insee_communes_bocp_2025,true
04087_04230,04087,FONTIENNE,93,04230,insee_communes_bocp_2025,true
04088_04300,04088,FORCALQUIER,93,04300,insee_communes_bocp_2025,true
04090_04240,04090,LE FUGERET,93,04240,insee_communes_bocp_2025,true
04091_04310,04091,GANAGOBIE,93,04310,insee_communes_bocp_2025,true
04092_04120,04092,LA GARDE,93,04120,insee_communes_bocp_2025,true
04093_04250,04093,GIGORS,93,04250,insee_communes_bocp_2025,true
04094_04800,04094,GREOUX LES BAINS,93,04800,insee_communes_bocp_2025,true
04095_04150,04095,L HOSPITALET,93,04150,insee_communes_bocp_2025,true
04096_04850,04096,JAUSIERS,93,04850,insee_communes_bocp_2025,true
04097_04000,04097,LA JAVIE,93,04000,insee_communes_bocp_2025,true
04097_04420,04097,LA JAVIE,93,04420,insee_communes_bocp_2025,true
04099_04170,04099,LAMBRUISSE,93,04170,insee_communes_bocp_2025,true
04101_04230,04101,LARDIERS,93,04230,insee_communes_bocp_2025,true
04102_04340,04102,LE LAUZET UBAYE,93,04340,insee_communes_bocp_2025,true
04104_04300,04104,LIMANS,93,04300,insee_communes_bocp_2025,true
04106_04700,04106,LURS,93,04700,insee_communes_bocp_2025,true
04107_04270,04107,MAJASTRES,93,04270,insee_communes_bocp_2025,true
04108_04350,04108,MALIJAI,93,04350,insee_communes_bocp_2025,true
04108_04510,04108,MALIJAI,93,04510,insee_communes_bocp_2025,true
04109_04230,04109,MALLEFOUGASSE AUGES,93,04230,insee_communes_bocp_2025,true
04110_04510,04110,MALLEMOISSON,93,04510,insee_communes_bocp_2025,true
04111_04300,04111,MANE,93,04300,insee_communes_bocp_2025,true
04112_04100,04112,MANOSQUE,93,04100,insee_communes_bocp_2025,true
04113_04420,04113,MARCOUX,93,04420,insee_communes_bocp_2025,true
04115_04240,04115,MEAILLES,93,04240,insee_communes_bocp_2025,true
04116_04190,04116,LES MEES,93,04190,insee_communes_bocp_2025,true
04118_04250,04118,MELVE,93,04250,insee_communes_bocp_2025,true
04120_04530,04120,VAL D ORONAYE,93,04530,insee_communes_bocp_2025,true
04120_04530,04120,VAL D ORONAYE,93,04530,insee_communes_bocp_2025,true
04121_04270,04121,MEZEL,93,04270,insee_communes_bocp_2025,true
04122_04510,04122,MIRABEAU,93,04510,insee_communes_bocp_2025,true
04123_04200,04123,MISON,93,04200,insee_communes_bocp_2025,true
04124_04500,04124,MONTAGNAC MONTPEZAT,93,04500,insee_communes_bocp_2025,true
04124_04500,04124,MONTAGNAC MONTPEZAT,93,04500,insee_communes_bocp_2025,true
04126_04140,04126,MONTCLAR,93,04140,insee_communes_bocp_2025,true
04127_04600,04127,MONTFORT,93,04600,insee_communes_bocp_2025,true
