location_uid,city_id,city_name,region_code,zip_code,source_system,active_flag,longitude,latitude,geo_point
04046_04510,04046,LE CHAFFAUT ST JURSON,93,04510,insee_communes_bocp_2025,true,6.1459,44.025,POINT(6.1459 44.025)
04047_04660,04047,CHAMPTERCIER,93,04660,insee_communes_bocp_2025,true,6.145,44.0977,POINT(6.145 44.0977)
04049_04160,04049,CHATEAU ARNOUX ST AUBAN,93,04160,insee_communes_bocp_2025,true,5.9942,44.0801,POINT(5.9942 44.0801)
04049_04600,04049,CHATEAU ARNOUX ST AUBAN,93,04600,insee_communes_bocp_2025,true,5.9942,44.0801,POINT(5.9942 44.0801)
04050_04250,04050,CHATEAUFORT,93,04250,insee_communes_bocp_2025,true,6.0263,44.2762,POINT(6.0263 44.2762)
04051_04200,04051,CHATEAUNEUF MIRAVAIL,93,04200,insee_communes_bocp_2025,true,5.7142,44.1521,POINT(5.7142 44.1521)
04053_04200,04053,CHATEAUNEUF VAL ST DONAT,93,04200,insee_communes_bocp_2025,true,5.9289,44.0951,POINT(5.9289 44.0951)
04054_04270,04054,CHATEAUREDON,93,04270,insee_communes_bocp_2025,true,6.2239,44.0264,POINT(6.2239 44.0264)
04055_04330,04055,CHAUDON NORANTE,93,04330,insee_communes_bocp_2025,true,6.3208,43.9884,POINT(6.3208 43.9884)
04057_04250,04057,CLAMENSANE,93,04250,insee_communes_bocp_2025,true,6.0784,44.3301,POINT(6.0784 44.3301)
04058_05110,04058,CLARET,93,05110,insee_communes_bocp_2025,true,5.9662,44.3728,POINT(5.9662 44.3728)
04059_04330,04059,CLUMANC,93,04330,insee_communes_bocp_2025,true,6.3783,44.022,POINT(6.3783 44.022)
04061_04370,04061,COLMARS,93,04370,insee_communes_bocp_2025,true,6.6585,44.1602,POINT(6.6585 44.1602)
04062_04530,04062,LA CONDAMINE CHATELARD,93,04530,insee_communes_bocp_2025,true,6.7054,44.4678,POINT(6.7054 44.4678)
04062_04530,04062,LA CONDAMINE CHATELARD,93,04530,insee_communes_bocp_2025,true,6.7054,44.4678,POINT(6.7054 44.4678)
04063_04220,04063,CORBIERES EN PROVENCE,93,04220,insee_communes_bocp_2025,true,5.7481,43.7593,POINT(5.7481 43.7593)
04065_04230,04065,CRUIS,93,04230,insee_communes_bocp_2025,true,5.8397,44.0845,POINT(5.8397 44.0845)
04066_05110,04066,CURBANS,93,05110,insee_communes_bocp_2025,true,6.0189,44.4132,POINT(6.0189 44.4132)
04067_04200,04067,CUREL,93,04200,insee_communes_bocp_2025,true,5.6717,44.1765,POINT(5.6717 44.1765)
04068_04300,04068,DAUPHIN,93,04300,insee_communes_bocp_2025,true,5.7765,43.8947,POINT(5.7765 43.8947)
04069_04120,04069,DEMANDOLX,93,04120,insee_communes_bocp_2025,true,6.5768,43.8685,POINT(6.5768 43.8685)
04070_04000,04070,DIGNE LES BAINS,93,04000,insee_communes_bocp_2025,true,6.2495,44.0954,POINT(6.2495 44.0954)
04070_04000,04070,DIGNE LES BAINS,93,04000,insee_communes_bocp_2025,true,6.2495,44.0954,POINT(6.2495 44.0954)
04072_04420,04072,DRAIX,93,04420,insee_communes_bocp_2025,true,6.375,44.1331,POINT(6.375 44.1331)
04073_04400,04073,ENCHASTRAYES,93,04400,insee_communes_bocp_2025,true,6.7129,44.3684,POINT(6.7129 44.3684)
04073_04400,04073,ENCHASTRAYES,93,04400,insee_communes_bocp_2025,true,6.7129,44.3684,POINT(6.7129 44.3684)
04074_04000,04074,ENTRAGES,93,04000,insee_communes_bocp_2025,true,6.2732,44.0398,POINT(6.2732 44.0398)
04074_04270,04074,ENTRAGES,93,04270,insee_communes_bocp_2025,true,6.2732,44.0398,POINT(6.2732 44.0398)
04075_04200,04075,ENTREPIERRES,93,04200,insee_communes_bocp_2025,true,6.0254,44.195,POINT(6.0254 44.195)
04075_04200,04075,ENTREPIERRES,93,04200,insee_communes_bocp_2025,true,6.0254,44.195,POINT(6.0254 44.195)
04075_04200,04075,ENTREPIERRES,93,04200,insee_communes_bocp_2025,true,6.0254,44.195,POINT(6.0254 44.195)
04076_04320,04076,ENTREVAUX,93,04320,insee_communes_bocp_2025,true,6.8067,43.9522,POINT(6.8067 43.9522)
04077_04700,04077,ENTREVENNES,93,04700,insee_communes_bocp_2025,true,6.0366,43.9393,POINT(6.0366 43.9393)
04079_04160,04079,L ESCALE,93,04160,insee_communes_bocp_2025,true,6.0363,44.0777,POINT(6.0363 44.0777)
04081_04800,04081,ESPARRON DE VERDON,93,04800,insee_communes_bocp_2025,true,5.9948,43.74,POINT(5.9948 43.74)
04081_04800,04081,ESPARRON DE VERDON,93,04800,insee_communes_bocp_2025,true,5.9948,43.74,POINT(5.9948 43.74)
04084_04270,04084,ESTOUBLON,93,04270,insee_communes_bocp_2025,true,6.2004,43.9487,POINT(6.2004 43.9487)
04084_04270,04084,ESTOUBLON,93,04270,insee_communes_bocp_2025,true,6.2004,43.9487,POINT(6.2004 43.9487)
04085_04250,04085,FAUCON DU CAIRE,93,04250,insee_communes_bocp_2025,true,6.0998,44.3952,POINT(6.0998 44.3952)
04086_04400,04086,FAUCON DE BARCELONNETTE,93,04400,insee_communes_bocp_2025,true,6.684,44.4137,POINT(6.684 44.4137)
04087_04230,04087,FONTIENNE,93,04230,insee_communes_bocp_2025,true,5.7897,44.0076,POINT(5.7897 44.0076)
04088_04300,04088,FORCALQUIER,93,04300,insee_communes_bocp_2025,true,5.7842,43.9582,POINT(5.7842 43.9582)
04090_04240,04090,LE FUGERET,93,04240,insee_communes_bocp_2025,true,6.6627,44.0183,POINT(6.6627 44.0183)
04091_04310,04091,GANAGOBIE,93,04310,insee_communes_bocp_2025,true,5.9113,44.0026,POINT(5.9113 44.0026)
04092_04120,04092,LA GARDE,93,04120,insee_communes_bocp_2025,true,6.5662,43.8256,POINT(6.5662 43.8256)
04093_04250,04093,GIGORS,93,04250,insee_communes_bocp_2025,true,6.1422,44.4243,POINT(6.1422 44.4243)
04094_04800,04094,GREOUX LES BAINS,93,04800,insee_communes_bocp_2025,true,5.8597,43.7628,POINT(5.8597 43.7628)
04095_04150,04095,L HOSPITALET,93,04150,insee_communes_bocp_2025,true,5.7078,44.1068,POINT(5.7078 44.1068)
04096_04850,04096,JAUSIERS,93,04850,insee_communes_bocp_2025,true,6.7745,44.3795,POINT(6.7745 44.3795)
04097_04000,04097,LA JAVIE,93,04000,insee_communes_bocp_2025,true,6.3183,44.197,POINT(6.3183 44.197)
04097_04420,04097,LA JAVIE,93,04420,insee_communes_bocp_2025,true,6.3183,44.197,POINT(6.3183 44.197)
